epoch,train_loss,val_loss,val_macro_auroc
1,1.2871447443962096,1.2556139707565308,0.5041333637847085
2,1.5007410287857055,1.2429659843444825,0.5223627732096183
3,1.2681428790092468,1.2548433780670165,0.5296896364648735
4,2.9692638516426086,1.3217857360839844,0.5234177532833615
5,2.594323182106018,1.3571199417114257,0.5344102899013701
6,1.184532594680786,1.3405738592147827,0.5405056913867043
7,1.2492181658744812,1.307849931716919,0.533598393473279
8,1.2469266891479491,1.297513222694397,0.5607053523451812
9,1.2703654050827027,1.3337869882583617,0.5661581204825719
10,1.231871521472931,1.3108884334564208,0.55945145370226
11,1.3941262245178223,1.3048593044281005,0.5493499388661717
12,1.7101454854011535,1.316723895072937,0.5380684440261648
13,1.2179898977279664,1.3448413133621215,0.5322221843092837
14,1.2933764934539795,1.3178388833999635,0.5612561578206922
15,1.6736281394958497,1.3233277082443238,0.5863058613135207
16,1.280994987487793,1.3441062688827514,0.5898123334597356
17,1.3293264150619506,1.3099319458007812,0.6027528272902682
18,1.4006008863449098,1.3018719911575318,0.6023645623910152
19,1.365399384498596,1.3115622282028199,0.6003117649617742
20,1.363530945777893,1.3190203428268432,0.607697689867645
21,1.1112399578094483,1.3477854490280152,0.6068970437075256
22,1.2248159289360045,1.4026603937149047,0.5774440137311696
23,1.2508577585220337,1.4642733573913573,0.5618840914655223
24,1.4607447862625123,1.448681402206421,0.5686960173565723
25,1.7746482372283936,1.4373535633087158,0.5643375538677168
26,1.3920814990997314,1.4191126823425293,0.5766990749681203
27,1.4623706579208373,1.404736828804016,0.58642844255579
